STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2020,,26.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2021,,27.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2020,,5.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2021,,4.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2022,,4.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2023,,6.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2024,,7.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2020,,5.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2021,,4.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2022,,4.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2023,,4.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2024,,5.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2020,,23.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2021,,20.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,19.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2023,,18.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2024,,18.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2020,,7.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2021,,6.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,7.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2023,,7.8,,,,,
