STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2020,,14.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2021,,15.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2022,,15.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2023,,15.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2024,,15.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2020,,14.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2021,,13.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2022,,13.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2023,,12.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2024,,11.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2020,,25.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2021,,23.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2022,,25.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2023,,21.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2024,,22.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2020,,16.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2021,,15.7,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2022,,16.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2023,,17.1,,,,,
