STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AL,Albania,2020,,3459.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AL,Albania,2021,,3962.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AL,Albania,2022,,4501.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AL,Albania,2023,,5737.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AL,Albania,2024,,7367.7,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AT,Austria,2020,,192083.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AT,Austria,2021,,201416.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AT,Austria,2022,,217424.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AT,Austria,2023,,234829.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",AT,Austria,2024,,254753.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BA,Bosnia and Herzegovina,2020,,8533.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BA,Bosnia and Herzegovina,2021,,9089.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BA,Bosnia and Herzegovina,2022,,10590.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BA,Bosnia and Herzegovina,2023,,11994.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BA,Bosnia and Herzegovina,2024,,13163.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BE,Belgium,2020,,230892.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BE,Belgium,2021,,245676.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BE,Belgium,2022,,269152.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BE,Belgium,2023,,292661.1,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BE,Belgium,2024,,301623.3,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BG,Bulgaria,2020,,27904.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BG,Bulgaria,2021,,31356.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BG,Bulgaria,2022,,35946.2,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BG,Bulgaria,2023,,41375.2,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,CP_MEUR,"Current prices, million euro",BG,Bulgaria,2024,,46100.4,,p,provisional,,
