STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2020,,25.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2021,,26.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2022,,24.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2023,,26.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2024,,29.5,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2020,,50.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2021,,49.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2022,,48.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2023,,49.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2024,,52.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2020,,48.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2021,,45.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2022,,45.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2023,,47.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2024,,50.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2020,,49.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2021,,48.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2022,,47.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2023,,49.1,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BE,Belgium,2024,,49.1,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2020,,45.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2021,,43.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2022,,41.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2023,,43.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),BG,Bulgaria,2024,,44.4,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CH,Switzerland,2020,,59.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CH,Switzerland,2021,,58.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CH,Switzerland,2022,,57.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CH,Switzerland,2023,,58.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CH,Switzerland,2024,,59.2,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2020,,47.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2021,,44.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2022,,43.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2023,,43.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CY,Cyprus,2024,,43.5,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CZ,Czechia,2020,,45.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CZ,Czechia,2021,,44.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CZ,Czechia,2022,,43.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CZ,Czechia,2023,,42.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),CZ,Czechia,2024,,43.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2020,,54.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2021,,53.4,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2022,,52.6,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2023,,53.1,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DE,Germany,2024,,54.6,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DK,Denmark,2020,,52.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DK,Denmark,2021,,50.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DK,Denmark,2022,,48.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DK,Denmark,2023,,51.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),DK,Denmark,2024,,51.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2020,,49.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2021,,47.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2022,,47.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2023,,49.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EE,Estonia,2024,,50.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2020,,39.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2021,,38.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2022,,35.4,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2023,,34.4,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EL,Greece,2024,,35.0,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2020,,49.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2021,,48.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2022,,47.7,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2023,,47.8,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ES,Spain,2024,,48.4,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EU27_2020,European Union - 27 countries (from 2020),2020,,48.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EU27_2020,European Union - 27 countries (from 2020),2021,,47.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EU27_2020,European Union - 27 countries (from 2020),2022,,46.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EU27_2020,European Union - 27 countries (from 2020),2023,,47.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),EU27_2020,European Union - 27 countries (from 2020),2024,,47.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2020,,46.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2021,,47.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2022,,47.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2023,,48.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FI,Finland,2024,,48.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2020,,51.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2021,,51.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2022,,51.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2023,,51.3,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),FR,France,2024,,51.5,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2020,,49.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2021,,45.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2022,,45.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2023,,46.2,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HR,Croatia,2024,,49.7,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HU,Hungary,2020,,42.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HU,Hungary,2021,,40.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HU,Hungary,2022,,40.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HU,Hungary,2023,,41.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),HU,Hungary,2024,,43.0,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2020,,27.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2021,,26.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2022,,24.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2023,,28.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IE,Ireland,2024,,28.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IS,Iceland,2020,,54.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IS,Iceland,2021,,53.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IS,Iceland,2022,,52.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IS,Iceland,2023,,52.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IS,Iceland,2024,,53.3,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IT,Italy,2020,,40.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),IT,Italy,2021,,40.1,,,,,
