STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-07,,5.1,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-08,,5.4,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-09,,5.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-10,,5.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-11,,5.1,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2024-12,,5.4,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2025-01,,5.5,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2025-02,,5.3,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2025-03,,5.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2025-04,,5.5,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,AT,Austria,2025-05,,5.3,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BA,Bosnia and Herzegovina,2024-07,,12.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BA,Bosnia and Herzegovina,2024-08,,12.7,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BA,Bosnia and Herzegovina,2024-09,,12.6,,,,,
dataflow,ESTAT:TEILM020(1.0),Unemployment rate by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,T,Total,PC_ACT,Percentage of population in the labour force,BA,Bosnia and Herzegovina,2024-10,,12.5,,,,,
