STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2020,,22.5,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2021,,31.1,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2022,,37.2,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2023,,38.4,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AL,Albania,2024,,36.3,,p,provisional,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2020,,51.7,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2021,,56.0,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2022,,62.0,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2023,,59.5,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),AT,Austria,2024,,57.1,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2020,,34.6,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2021,,42.8,,,,,
dataflow,ESTAT:TET00003(1.0),Exports of goods and services in % of GDP,A,Annual,P6,Exports of goods and services,PC_GDP,Percentage of gross domestic product (GDP),BA,Bosnia and Herzegovina,2022,,48.3,,,,,
