STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),ppp_cat,Analytical categories for purchasing power parities (PPPs) calculation,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AL,Albania,2020,,30,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AL,Albania,2021,,31,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AL,Albania,2022,,34,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AL,Albania,2023,,36,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AL,Albania,2024,,37,,e,estimated,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AT,Austria,2020,,123,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AT,Austria,2021,,121,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AT,Austria,2022,,123,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AT,Austria,2023,,120,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,AT,Austria,2024,,116,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,BA,Bosnia and Herzegovina,2020,,33,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,BA,Bosnia and Herzegovina,2021,,33,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,BA,Bosnia and Herzegovina,2022,,34,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,BA,Bosnia and Herzegovina,2023,,36,,,,,
dataflow,ESTAT:TEC00114(1.0),GDP per capita in PPS,A,Annual,VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),GDP,Gross domestic product,BA,Bosnia and Herzegovina,2024,,35,,,,,
