STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AL,Albania,2020,,18.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AL,Albania,2021,,17.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AL,Albania,2022,,17.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AL,Albania,2023,,16.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AL,Albania,2024,,15.5,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2020,,1.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2021,,1.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2022,,1.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2023,,1.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2024,,1.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,5.9,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2021,,5.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2022,,4.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2023,,4.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BA,Bosnia and Herzegovina,2024,,4.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BE,Belgium,2020,,0.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BE,Belgium,2021,,0.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BE,Belgium,2022,,0.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BE,Belgium,2023,,0.8,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),A,"Agriculture, forestry and fishing",B1G,"Value added, gross",BE,Belgium,2024,,0.8,,p,provisional,,
