STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AL,Albania,2020,,11.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AL,Albania,2021,,11.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AL,Albania,2022,,11.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AL,Albania,2023,,11.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AL,Albania,2024,,10.5,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AT,Austria,2020,,19.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AT,Austria,2021,,19.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AT,Austria,2022,,19.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AT,Austria,2023,,19.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",AT,Austria,2024,,17.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),B-E,Industry (except construction),B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,19.2,,,,,
