STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AL,Albania,2020,,88.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AL,Albania,2021,,85.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AL,Albania,2022,,86.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AL,Albania,2023,,87.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AL,Albania,2024,,86.5,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AT,Austria,2020,,89.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AT,Austria,2021,,89.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AT,Austria,2022,,89.6,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AT,Austria,2023,,89.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",AT,Austria,2024,,89.6,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2020,,84.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2021,,83.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2022,,84.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2023,,84.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BA,Bosnia and Herzegovina,2024,,84.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BE,Belgium,2020,,90.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BE,Belgium,2021,,89.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BE,Belgium,2022,,90.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BE,Belgium,2023,,90.4,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BE,Belgium,2024,,90.5,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),TOTAL,Total - all NACE activities,B1G,"Value added, gross",BG,Bulgaria,2020,,86.8,,,,,
