STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2020,,16.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2021,,16.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2022,,17.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2023,,18.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AL,Albania,2024,,19.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2020,,17.9,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2021,,17.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2022,,19.4,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2023,,18.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),G-I,"Wholesale and retail trade, transport, accommodation and food service activities",B1G,"Value added, gross",AT,Austria,2024,,18.9,,,,,
