STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AL,Albania,2020,,3015.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AL,Albania,2021,,4745.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AL,Albania,2022,,6720.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AL,Albania,2023,,8348.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AL,Albania,2024,,9071.5,,p,provisional,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AT,Austria,2020,,196484.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AT,Austria,2021,,227300.5,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AT,Austria,2022,,277597.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AT,Austria,2023,,281402.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,AT,Austria,2024,,276613.4,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BA,Bosnia and Herzegovina,2020,,6142.1,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BA,Bosnia and Herzegovina,2021,,8570.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BA,Bosnia and Herzegovina,2022,,11267.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BA,Bosnia and Herzegovina,2023,,11213.0,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BA,Bosnia and Herzegovina,2024,,11216.8,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BE,Belgium,2020,,367276.2,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BE,Belgium,2021,,453546.6,,,,,
dataflow,ESTAT:TEC00110(1.0),"Goods and services, imports and exports",A,Annual,CP_MEUR,"Current prices, million euro",P6,Exports of goods and services,BE,Belgium,2022,,536875.6,,,,,
