STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2020,,38.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2021,,40.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2020,,17.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2021,,18.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2022,,19.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2023,,22.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2024,,20.9,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2020,,23.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2021,,22.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2022,,22.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2023,,21.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2024,,21.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2020,,43.5,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2021,,36.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,42.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2023,,46.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2024,,45.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2020,,19.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2021,,18.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,18.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2023,,18.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2020,,44.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2021,,43.4,,,,,
