STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,subjnmon,Subjective and non-monetary indicator,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,AL,Albania,2021,,0.0,,n,not significant,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,AT,Austria,2021,,13.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,AT,Austria,2022,,13.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,AT,Austria,2023,,11.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,AT,Austria,2024,,11.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BE,Belgium,2021,,9.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BE,Belgium,2022,,7.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BE,Belgium,2023,,9.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BE,Belgium,2024,,9.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BG,Bulgaria,2021,,0.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,BG,Bulgaria,2022,,0.3,,,,,
