STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-06,,198,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-07,,194,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-08,,184,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-09,,213,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-10,,207,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-11,,182,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2024-12,,200,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2025-01,,204,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2025-02,,190,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2025-03,,200,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2025-04,,211,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,AT,Austria,2025-05,,195,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-06,,152,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-07,,152,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-08,,151,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-09,,151,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-10,,150,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-11,,149,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2024-12,,149,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2025-01,,151,,,,,
dataflow,ESTAT:TEILM012(1.0),Unemployment by sex - age group 25-74,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",Y25-74,From 25 to 74 years,T,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2025-02,,151,,,,,
