STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",AT,Austria,2020,,66064.73,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",AT,Austria,2021,,67424.41,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",AT,Austria,2022,,72001.22,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",AT,Austria,2023,,76751.81,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",AT,Austria,2024,,83494.82,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BE,Belgium,2020,,61256.97,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BE,Belgium,2021,,62327.17,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BE,Belgium,2022,,66057.59,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BE,Belgium,2023,,71232.23,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BE,Belgium,2024,,73736.60,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BG,Bulgaria,2020,,13225.54,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BG,Bulgaria,2021,,14913.36,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BG,Bulgaria,2022,,17138.37,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BG,Bulgaria,2023,,19780.79,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_NCH_AW100_100,"Two-earner couple without children, both earning 100% of the average earning",BG,Bulgaria,2024,,22147.80,,,,,
