ID,Regione,Geopolitical entity (reporting),Sesso,TIME_PERIOD,OBS_VALUE
1.0,UE Occidentale,Austria,Total,2009,5.7
1.0,UE Occidentale,Austria,Total,2010,5.2
1.0,UE Occidentale,Austria,Total,2011,4.9
1.0,UE Occidentale,Austria,Total,2012,5.2
1.0,UE Occidentale,Austria,Total,2013,5.7
1.0,UE Occidentale,Austria,Total,2014,6.0
1.0,UE Occidentale,Austria,Total,2015,6.1
1.0,UE Occidentale,Austria,Total,2016,6.5
1.0,UE Occidentale,Austria,Total,2017,5.9
1.0,UE Occidentale,Austria,Total,2018,5.2
1.0,UE Occidentale,Austria,Total,2019,4.8
1.0,UE Occidentale,Austria,Total,2020,6.0
1.0,UE Occidentale,Austria,Total,2021,6.2
1.0,UE Occidentale,Austria,Total,2022,4.8
1.0,UE Occidentale,Austria,Total,2023,5.1
1.0,UE Occidentale,Austria,Total,2024,5.2
2.0,UE Occidentale,Belgium,Total,2009,8.0
2.0,UE Occidentale,Belgium,Total,2010,8.4
2.0,UE Occidentale,Belgium,Total,2011,7.2
2.0,UE Occidentale,Belgium,Total,2012,7.6
2.0,UE Occidentale,Belgium,Total,2013,8.6
2.0,UE Occidentale,Belgium,Total,2014,8.7
2.0,UE Occidentale,Belgium,Total,2015,8.7
2.0,UE Occidentale,Belgium,Total,2016,7.9
2.0,UE Occidentale,Belgium,Total,2017,7.2
2.0,UE Occidentale,Belgium,Total,2018,6.0
2.0,UE Occidentale,Belgium,Total,2019,5.5
2.0,UE Occidentale,Belgium,Total,2020,5.8
2.0,UE Occidentale,Belgium,Total,2021,6.3
2.0,UE Occidentale,Belgium,Total,2022,5.6
2.0,UE Occidentale,Belgium,Total,2023,5.5
2.0,UE Occidentale,Belgium,Total,2024,5.7
4.0,UE Est Centrale,Bulgaria,Total,2009,7.9
4.0,UE Est Centrale,Bulgaria,Total,2010,11.3
4.0,UE Est Centrale,Bulgaria,Total,2011,12.3
4.0,UE Est Centrale,Bulgaria,Total,2012,13.3
4.0,UE Est Centrale,Bulgaria,Total,2013,13.9
4.0,UE Est Centrale,Bulgaria,Total,2014,12.4
4.0,UE Est Centrale,Bulgaria,Total,2015,10.1
4.0,UE Est Centrale,Bulgaria,Total,2016,8.6
4.0,UE Est Centrale,Bulgaria,Total,2017,7.2
4.0,UE Est Centrale,Bulgaria,Total,2018,6.2
4.0,UE Est Centrale,Bulgaria,Total,2019,5.2
4.0,UE Est Centrale,Bulgaria,Total,2020,6.1
4.0,UE Est Centrale,Bulgaria,Total,2021,5.2
4.0,UE Est Centrale,Bulgaria,Total,2022,4.2
4.0,UE Est Centrale,Bulgaria,Total,2023,4.3
4.0,UE Est Centrale,Bulgaria,Total,2024,4.2
35.0,Altro,Switzerland,Total,2010,4.8
35.0,Altro,Switzerland,Total,2011,4.4
